"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1282","Get products","chromium","Mon Jan 19 11:47:57 UTC 2026","passed","Mon Jan 19 11:47:58 UTC 2026","","HomePage.spec.js","",""
"","989","Assert home page","chromium","Mon Jan 19 11:47:55 UTC 2026","passed","Mon Jan 19 11:47:56 UTC 2026","","HomePage.spec.js","",""
