"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1553","Assert home page","chromium","Mon Jan 19 11:23:36 UTC 2026","passed","Mon Jan 19 11:23:37 UTC 2026","","HomePage.spec.js","",""
"","2002","Get products","chromium","Mon Jan 19 11:23:37 UTC 2026","passed","Mon Jan 19 11:23:39 UTC 2026","","HomePage.spec.js","",""
